category_id,name,sku,brand,tags,unit,estimate_time,shipping_charges,mrp_price,discount_type,discount,stock,short_description,description,policy,video_url,seo_title,seo_tags,seo_description,gst,hsn,comission,condition,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6
17,"ASUS 12M MT, P8H61-M PRO Motherboard, i5-3340S, 16GB Ram, 2TB HDD, No OS",2GA-0531G,Intel,,pc,3 day,0,96.3,percentage,0,1,,"For sale is an ASUS 12M MT, P8H61-M PRO Motherboard equipped with:

* i5-3340S CPU Processor
* 16GB Ram
* 2TB HDD
* Power Cable

No operation system is installed on the hard drive. You will need to do this prior to using the computer. Tower boots to bios, no further testing.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,new,https://images.sellbrite.com/production/31935/2GA-0531G/bca232af-f13b-5900-95fc-a650ef895204.jpg,https://images.sellbrite.com/production/31935/2GA-0531G/c86bf762-ff1a-5eef-a127-9c055905a308.jpg,https://images.sellbrite.com/production/31935/2GA-0531G/0741312f-b3fe-59e5-99cf-b98dc13a94f7.jpg,https://images.sellbrite.com/production/31935/2GA-0531G/cc4686df-13fc-5732-8baf-9ee381284efb.jpg,https://images.sellbrite.com/production/31935/2GA-0531G/1c850206-c392-5402-9937-8b17b53f57cb.jpg,https://images.sellbrite.com/production/31935/2GA-0531G/e7e021a4-7b5c-5729-be6f-ba2d9ad034c8.jpg
17,"Dell OptiPlex 7010 SSF, i5-3220, 8GB Ram,120GB SSD, W10H",2RM-05314,Dell,,pc,3 day,0,78.79,percentage,0,1,,"For sale Dell OptiPlex 7010 SSF


Equipped with:

* I5-3220 CPU Processor
* 8GB RAM
* 120GB SDD
* Windows 10 Home
* Power cord

You'll receive a fully tested, seller refurbished tower


Functional condition:

Tested, no issues found


Cosmetic condition:

As shown on pics

*Minor scuffs on top

*One rubber feet missing from bottom


Ships out by next business day

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2RM-05314/5e3176c5-95e4-5d63-acdd-bdfe93e98bb5.jpg,https://images.sellbrite.com/production/31935/2RM-05314/cfadeb02-961c-54ba-ab4f-a14fcfe189c7.jpg,https://images.sellbrite.com/production/31935/2RM-05314/1416f731-ec85-5769-96f4-7babb179328e.jpg,https://images.sellbrite.com/production/31935/2RM-05314/245b6968-b33c-5309-8fc0-fbd564a306b5.jpg,https://images.sellbrite.com/production/31935/2RM-05314/acdb9ddd-6fe5-54a4-b0ad-feef8a7a1404.jpg,https://images.sellbrite.com/production/31935/2RM-05314/f16ae06e-31a3-57a3-8761-c5957fce30f4.jpg
17,"Lenovo ThinkCentre M81 SFF, i3-3220, 4GB Ram, No HDD",CG90,Lenovo,,pc,3 day,0,32.37,percentage,0,1,,"For sale is a Lenovo ThinkCentre M81 SFF, i3-3220, 4GB Ram, No HDD, Missing Caddy.

Boots to bios, no further testing.

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/CG90/548a125c-6e1a-58f8-9972-20b5a3f35beb.jpg,https://images.sellbrite.com/production/31935/CG90/73340aa6-2a92-5ee4-ba6d-1ff6c81a54e3.jpg,https://images.sellbrite.com/production/31935/CG90/d5c4113e-5ba3-5328-bee2-6f023e855e14.jpg,https://images.sellbrite.com/production/31935/CG90/f620a93d-6034-5e9c-994b-12cc9d357819.jpg,,
17,LOT OF (3) BELKIN 12 ft White Phone Line Cord 26 Gauge,OB1089-L8,Belkin,,pc,3 day,0,3.21,percentage,0,1,,"For sale is an: LOT OF (3) BELKIN 12 ft White Phone Line Cord 26 Gauge


30 day warranty included in sale. Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,new,https://images.sellbrite.com/production/31935/OB1089-L8/982fe44e-6a91-5ee3-8973-ef3107c6f0cf.jpg,https://images.sellbrite.com/production/31935/OB1089-L8/b1654564-ddfc-549e-bd7b-a69acbd8a56a.jpg,https://images.sellbrite.com/production/31935/OB1089-L8/b32d2f64-d373-518c-8531-108a0f75b6bc.jpg,,,
17,"Dell Optiplex 9020 MT i7-4770 @ 3.40GHz, 32GB Ram, 512GB SSD, W10P",2RM-05317,Dell,,pc,3 day,0,245.14,percentage,0,1,,"For sale Dell Optiplex 9020 MT


Equipped with:

Intel Core i7-4770 @ 3.40GHz

32GB RAM

512GB SSD

W10P

Power cord


You'll receive a fully tested, seller refurbished tower


Functional condition:

Tested, no issues found


Cosmetic condition:

Fair condition

*Paint looks aged

*Scuffs and minor scratches on body

*Missing one rubber feet from bottom

*Missing one finger card slot cover from back side


Ships out by next business day

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2RM-05317/49e10288-4d7a-5a41-8bc4-69de2a49fb85.jpg,https://images.sellbrite.com/production/31935/2RM-05317/24154778-88e0-537e-91d6-499e6ee01290.jpg,https://images.sellbrite.com/production/31935/2RM-05317/87816c6e-48e0-5f4c-ae04-492c74a6aaf2.jpg,https://images.sellbrite.com/production/31935/2RM-05317/f4e7ebe8-48bb-5a20-9812-eee4153d39fd.jpg,https://images.sellbrite.com/production/31935/2RM-05317/3019efef-c178-5a1f-88ee-fa2758b43ba6.jpg,https://images.sellbrite.com/production/31935/2RM-05317/39310b12-f330-5673-aac3-e5edff70fae6.jpg
17,"Lot of 10 Lenovo 20V, 4.5A Adapters, Yellow, Round, Barrel Tip",CG78-U4,Lenovo,,pc,3 day,0,30.82,percentage,0,1,,"For sale is a lot of 10 Lenovo 20V, 4.5A Adapters, Yellow, Round, Barrel Tip.

Guaranteed to arrive intact and functional, 30 day warranty included in sale.

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/CG78-U4/2f1400cc-6e9d-5b1d-b8db-2ac3e722cab6.jpg,https://images.sellbrite.com/production/31935/CG78-U4/e6a44aef-9944-55d8-8afc-c79e1c77e2e6.jpg,https://images.sellbrite.com/production/31935/CG78-U4/89c49e26-0c9e-56d6-a283-3e32416471e6.jpg,,,
17,"Genuine iMac A1312 27"" Mid 2011 Backlight Inverter Board",OB1095-iF6,Apple,,pc,3 day,0,8.73,percentage,0,1,,"For sale is an: Genuine iMac A1312 27"" Mid 2011 Backlight Inverter Board

Note: Pulled from working system.

30 day warranty included in sale. Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/OB1095-iF6/feeb2826-441e-532f-8d2f-976ee3df9251.jpg,https://images.sellbrite.com/production/31935/OB1095-iF6/128b9381-d0b2-55b2-b393-bf1182d0bc25.jpg,https://images.sellbrite.com/production/31935/OB1095-iF6/a1a0d3de-1483-509c-bfa1-78084bcac9cd.jpg,https://images.sellbrite.com/production/31935/OB1095-iF6/9c020b76-1c5d-5330-886b-bc14895875f9.jpg,,
17,"Dell Latitude E6420 i5-2520@2.50GHz, 8GB Ram - No Screen",CG82,Dell,,pc,3 day,0,30.82,percentage,0,1,,"For sale is a Dell Latitude E6420 equipped with

* i5-2520@2.50GHz CPU Processor
* 8GB Ram

Boots to bios, no screen. No further testing, no warranty. Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,new,https://images.sellbrite.com/production/31935/CG82/bdb3e5b3-8df9-5cf2-bbe6-87d595d3ee2f.jpg,https://images.sellbrite.com/production/31935/CG82/99f92cd5-b82d-5429-b8d4-1c4429e1813e.jpg,https://images.sellbrite.com/production/31935/CG82/a8020cf6-b0e7-5bf1-b7e5-7368cc266437.jpg,https://images.sellbrite.com/production/31935/CG82/3cedbf79-b541-5534-a0bc-7ba9c8765134.jpg,https://images.sellbrite.com/production/31935/CG82/c76386fd-0200-5631-a75b-26ce41ce0ee3.jpg,https://images.sellbrite.com/production/31935/CG82/ccd09f9f-d0db-5c2f-ba22-dfc0e5305db6.jpg
17,"For sale is a lot of 2 Lenovo ThinkCentre M81 SFF i3-2120, 8GB Ram, No HDD",CG89,Lenovo,,pc,3 day,0,61.64,percentage,0,1,,"For sale is a lot of 2 Lenovo ThinkCentre M81 SFF
i3-2120, 8GB Ram, No HDD, Missing Caddy.

Boots to bios, no further testing. Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/CG89/5299e220-0426-5c73-9cd5-75c053a7401e.jpg,https://images.sellbrite.com/production/31935/CG89/93e5d13d-013b-58d2-95ff-e2dc9c55a463.jpg,https://images.sellbrite.com/production/31935/CG89/964d10a6-e89c-51ba-8a5e-e2de9a07994f.jpg,https://images.sellbrite.com/production/31935/CG89/8304fd0a-3ef6-5aad-ac10-942e408e70a1.jpg,,
17,Intel Core i7-3930K 6-Core 3.2GHz 12MB LGA2011 CPU SR0KY Processor,IF_36CDAFEB-1,Intel,,pc,3 day,0,25.03,percentage,0,1,,"Intel Core i7-3930K 6-Core 3.2GHz 12MB LGA2011 CPU SR0KY Processor. Tested, guaranteed to arrive functional, 30 day warranty included in sale. Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/IF_36CDAFEB-1/acc753fc-de14-5f8a-8933-1796a691418b.jpg,,,,,
