Category ID,Item ID,Custom Label (SKU),Title,Format,VariationSet,SiteID,Reserved1-Do not edit or delete,C:Brand,C:Screen Size,C:Processor,C:Model,C:Operating System,C:Type,C:Processor Speed,C:SSD Capacity,C:Features,C:Hard Drive Capacity,C:Storage Type,C:GPU,C:Release Year,C:Maximum Resolution,C:Color,C:MPN,C:Series,C:RAM Size,C:Most Suitable For,C:Graphics Processing Type,C:Connectivity,C:Country/Region of Manufacture,C:Manufacturer Warranty,C:California Prop 65 Warning,C:Item Height,C:Item Length,C:Item Weight,C:Item Width,C:Custom Bundle,C:UPC,C:Form Factor,C:Operating System Edition,C:Bundle Description,C:Modified Item,C:Screen Refresh Rate,C:SKU,C:Location,C:Manufacturer Color
177,295529534342,3JJ-0111B-R2,Dell Precision 3510 | intel i7-6820HQ@2.70GHz | NO SSD | 8GB RAM | NO DISPLAY *,FIXED_PRICE,,0,-1718366627,Dell,15.6 in,Intel Core i7 6th Gen.,Dell Precision 3510,,,2.70 GHz,,,,SSD (Solid State Drive),,,,,,,8 GB,,,,,,,,,,,No,,,,,,,,,
177,295529534346,2PJ-1222K-2F,"Lenovo G580 15.6"", Intel Celeron B830@1.80GHz, 4GB RAM - For parts",FIXED_PRICE,,0,709679204,Lenovo,15.6 in,Intel Celeron,Lenovo G580,Not Included,,1.80 GHz,,,,,,,,,,,4 GB,Parts,,,,,,,,,,,,,,,,,,,
177,295529534355,2JJ-1209B,Dell Latitude 7285 | intel i5-7Y54 @1.2GHz | 128GB SSD | 8GB RAM | TOUCH | W10P,FIXED_PRICE,,0,1768095864,Dell,12.3 in,Intel Core i5 7th Gen.,Dell Latitude 7285,Windows 10,Convertible 2-in-1 Laptop/Tablet,1.20 GHz,128 GB,Touchscreen||Bluetooth||Built-in Webcam||Wi-Fi||10/100 LAN Card||Multi-Touch Trackpad||Backlit Keyboard||Force Touch Trackpad||Built-in Microphone,,SSD (Solid State Drive),Intel HD Graphics 615,,2880 x 1920,Black,PY9V9,Latitude,8 GB,Casual Computing,Integrated/On-Board Graphics,USB-C||USB 3.1,,,,,,,,,,,,,,,,,
177,295529534362,2HL-1212B-R8,"Dell Latitude E6420,  i7-2620M @ 2.70, 8GB RAM, 500GB HDD, Win 10 Pro, *Read*",FIXED_PRICE,,0,559192669,Dell,14 in,Intel Core i7 2nd Gen.,Dell Latitude E6420,Windows 10 Pro,Notebook/Laptop,,,,500 GB,HDD (Hard Disk Drive),,,,,,Latitude,8 GB,Casual Computing,,,,,,,,,,No,,,,,,,,,
177,295529534364,3JJ-0111M-R2,Dell Latitude E5450 | intel i5-5300U @2.30GHz | 256GB SSD | 8GB RAM | WIN10PRO,FIXED_PRICE,,0,-351121470,Dell,14 in,Intel Core i5 5th Gen.,Dell Latitude E5450,,,2.30 GHz,256 GB,,,SSD (Solid State Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,295529534368,2PJ-1212A-2F,"Dell Latitude 6430u, Core i7-vPro - For Parts- Read",FIXED_PRICE,,0,333064626,Dell,14 in,Intel Core i7 3rd Gen.,Dell Latitude 6430u,Not Included,Notebook/Laptop,,,,,,Intel HD Graphics 4000,,,,,,,Parts,,,,,,,,,,,,,,,,,,,
177,295529534370,2JJ-1218B,Lenovo ThinkPad T440 | intel i5-4300U @1.9Ghz | 128GB SSD | 8GB RAM | WIN10PRO,FIXED_PRICE,,0,1617920351,Lenovo,14 in,Intel Core i5 4th Gen.,lenovo thinkpad,,,,128 GB,,,SSD (Solid State Drive),,,,,,ThinkPad,,,,,,,,,,,,,,,,,,,,,
177,295529534371,2HL-1222E-R8,"Dell Latitude 3490, i5-8250U @ 1.6GHz, 8GB RAM, 128GB SSD + 500GB HDD, W10P",FIXED_PRICE,,0,-326444984,Dell,14 in,Intel Core i5 8th Gen.,3490,Windows 10 Pro,Notebook/Laptop,1.60 GHz,128 GB,Built-in Webcam,500 GB,HDD + SSD,Please review listing,,1920 x 1080,Black,3490,Latitude,8 GB,Casual Computing,Integrated/On-Board Graphics,HDMI||USB 3.0||USB-C||VGA||SD Card Slot,Unknown,None,,,,,,No,,,,Not Applicable,No,,,,
177,295529534373,2JJ-1015Z,Lenovo ThinkPad E560 | intel i5-6200U @2.3Ghz | 800GB SSD | 8GB RAM | WIN10PRO,FIXED_PRICE,,0,677443946,Lenovo,15.6 in,Intel Core i5 6th Gen.,Lenovo Thinkpad,,,2.30 GHz,,,,SSD (Solid State Drive),,,,,,ThinkPad,8 GB,,,,,,,,,,,,,,,,,,,,
177,295529534685,3JS-1024I-R2,"HP Elitebook 2760p, i5-2540M, CPU@2.6GHz, 4GB RAM, 300 GB HDD, WIN10PRO",FIXED_PRICE,,0,-943815419,HP,12.1 in,Intel Core i5 2nd Gen.,HP Elitebook 2760P,Windows 10 Pro,,2.60 GHz,,,300 GB,HDD (Hard Disk Drive),,,,,,,4 GB,,,,,,,,,,,,,,,,,,,,
